시즌,선수명,팀명,경기,타석,타수,안타,홈런,득점,타점,볼넷,삼진,도루,BABIP,타율,출루율,장타율,OPS,wOBA,WAR
23,노시환,한화,27,121,107,36,4,18,13,13,24,1,0.405,0.336,0.413,0.523,0.936,0.424,1.57
23,알포드,KT,23,99,88,33,3,17,11,10,24,3,0.492,0.375,0.444,0.58,1.024,0.46,1.48
23,김혜성,Hero,28,124,112,37,1,22,8,10,16,10,0.375,0.33,0.387,0.438,0.825,0.381,1.34
23,김현수,LG,25,106,89,34,1,14,17,15,10,1,0.413,0.382,0.462,0.506,0.968,0.442,1.29
23,강민호,삼성,24,98,88,29,3,12,14,8,16,2,0.377,0.33,0.398,0.5,0.898,0.408,1.29
23,문보경,LG,28,124,98,29,1,19,16,20,21,4,0.359,0.296,0.413,0.408,0.821,0.393,1.28
23,러셀,Hero,26,105,97,33,3,13,27,7,15,1,0.38,0.34,0.39,0.505,0.895,0.405,1.27
23,최정,SSG,28,124,104,30,4,24,21,14,22,2,0.325,0.288,0.382,0.462,0.844,0.382,1.14
23,에레디아,SSG,29,123,112,40,3,14,24,10,15,4,0.394,0.357,0.41,0.5,0.91,0.415,1.12
23,구자욱,삼성,27,124,104,34,2,19,14,16,18,5,0.368,0.327,0.411,0.462,0.873,0.398,1.12
23,최형우,KIA,24,98,84,28,3,12,16,13,15,0,0.379,0.333,0.429,0.512,0.941,0.43,1.03
23,김민혁,KT,25,94,83,29,0,16,8,10,10,0,0.397,0.349,0.419,0.434,0.853,0.405,1.01
23,이원석,삼성,19,72,58,21,1,6,10,14,8,0,0.408,0.362,0.486,0.483,0.969,0.457,0.97
23,박동원,LG,27,105,86,20,5,11,12,17,18,0,0.234,0.233,0.362,0.43,0.792,0.366,0.96
23,최지훈,SSG,22,99,88,31,0,16,6,7,9,2,0.388,0.352,0.402,0.42,0.822,0.384,0.92
23,문성주,LG,28,133,113,38,1,19,8,17,12,5,0.366,0.336,0.424,0.389,0.813,0.391,0.9
23,오스틴,LG,28,118,106,36,2,16,21,9,19,2,0.391,0.34,0.39,0.453,0.843,0.386,0.83
23,양의지,두산,25,97,83,23,1,6,10,10,11,1,0.31,0.277,0.381,0.373,0.754,0.361,0.8
23,채은성,한화,27,118,105,32,5,14,24,9,22,0,0.342,0.305,0.373,0.486,0.859,0.38,0.78
23,홍창기,LG,28,137,109,31,0,19,11,20,22,6,0.352,0.284,0.419,0.358,0.777,0.384,0.78
23,오지환,LG,15,66,54,15,0,7,15,8,12,4,0.349,0.278,0.394,0.444,0.838,0.393,0.76
23,최주환,SSG,26,101,97,28,5,9,15,4,24,0,0.338,0.289,0.317,0.515,0.832,0.364,0.75
23,박민우,NC,25,102,89,26,1,15,10,9,14,7,0.338,0.292,0.382,0.371,0.753,0.36,0.73
23,정수빈,두산,27,107,85,22,0,10,5,18,11,6,0.297,0.259,0.4,0.318,0.718,0.36,0.73
23,박성한,SSG,27,111,90,21,2,12,8,20,9,1,0.238,0.233,0.369,0.344,0.713,0.344,0.73
23,양석환,두산,25,106,94,27,6,15,16,8,21,1,0.304,0.287,0.349,0.521,0.87,0.382,0.72
23,김재환*,두산,26,98,80,22,2,12,10,17,22,0,0.357,0.275,0.408,0.438,0.846,0.398,0.7
23,류지혁,KIA,24,90,80,27,0,9,6,8,21,2,0.45,0.338,0.4,0.375,0.775,0.37,0.69
23,김주원,NC,28,106,94,25,3,10,13,9,34,4,0.386,0.266,0.337,0.404,0.741,0.341,0.69
23,렉스,롯데,23,101,85,24,2,13,17,15,27,0,0.386,0.282,0.386,0.412,0.798,0.375,0.66
23,소크라테스*,KIA,25,113,97,29,2,10,15,11,19,4,0.338,0.299,0.363,0.402,0.765,0.353,0.65
23,안권수,롯데,23,99,89,28,2,11,12,8,13,6,0.342,0.315,0.364,0.438,0.802,0.369,0.6
23,박해민,LG,28,104,94,29,3,13,15,6,19,2,0.361,0.309,0.35,0.447,0.797,0.362,0.59
23,노진혁,롯데,24,89,74,20,1,13,15,9,16,1,0.317,0.27,0.345,0.405,0.75,0.343,0.58
23,도태훈,NC,21,51,38,10,1,10,3,8,9,1,0.321,0.263,0.44,0.368,0.808,0.4,0.57
23,최재훈,한화,20,79,60,14,0,4,7,10,9,0,0.275,0.233,0.41,0.25,0.66,0.35,0.57
23,김선빈,KIA,22,77,64,18,0,6,7,11,4,0,0.3,0.281,0.395,0.328,0.723,0.357,0.52
23,이원석,한화,22,69,53,12,0,8,5,15,15,7,0.316,0.226,0.406,0.245,0.651,0.348,0.5
23,박건우,NC,27,113,96,25,1,10,14,14,20,4,0.32,0.26,0.372,0.354,0.726,0.354,0.49
